"Station_ID","lat","lon","Station_Name","Region","Status"
4205,33.9938,-118.454,"Venice & Lincoln","Venice","Active"
4206,33.9983,-118.461,"California & Lincoln","Venice","Active"
4207,34.0009,-118.469,"Rose & 7th","Venice","Active"
4208,33.9987,-118.473,"Rose & Rennie","Venice","Active"
4209,33.9962,-118.477,"Rose & Main","Venice","Active"
4210,33.9843,-118.472,"Ocean Front Walk & North Venice","Venice","Active"
4211,33.9849,-118.47,"Pacific & North Venice","Venice","Active"
4212,33.9881,-118.472,"Windward & Main","Venice","Active"
4213,33.9947,-118.464,"7th & Westminster","Venice","Active"
4214,33.9956,-118.482,"Ocean Front Walk & Navy","Venice","Active"
4215,34.0143,-118.491,"Downtown Santa Monica Expo Line Station","Venice","Active"
4216,34.0234,-118.48,"17th St / SMC Expo Line Station","Venice","Active"
4220,34.0748,-118.259,"Park & Echo Park","DTLA","Active"
4227,34.0298,-118.27,"Grand/LATTC","DTLA","Inactive"
4244,34.0181,-118.287,"Expo Park/USC Station","DTLA","Inactive"
4249,34.0203,-118.281,"Figueroa & McCarthy Way","DTLA","Active"
4254,34.0287,-118.284,"Hoover & 29th","DTLA","Active"
